Name,State,State Code,Fips,Population,Area,Density,Cases,Deaths,Percent Of State,Cases By Population,Cases By Area,Deaths By Population,Deaths By Area,Risk Index
Childress,Texas,TX,48075,7067,1838,3,10,0,0.00,141,5,0,0,1.42
Uintah,Utah,UT,49047,32588,11603,2,10,0,0.00,30,0,0,0,0.31
Brown,Ohio,OH,39015,44846,1271,35,28,10,0.10,62,22,22,7,5.04
Plumas,California,CA,6063,18807,6614,2,10,0,0.00,53,1,0,0,0.54
Stewart,Georgia,GA,13259,6042,1188,5,53,10,0.10,877,44,165,8,79.02
Allamakee,Iowa,IA,19005,14330,1657,8,120,10,0.60,837,72,69,6,58.66
Hancock,Maine,ME,23009,54659,6089,8,10,10,0.00,18,1,18,1,0.38
Noxubee,Mississippi,MS,28103,11545,1800,6,191,10,1.20,1654,106,86,5,99.30
Polk,North Carolina,NC,37149,20434,619,33,37,10,0.10,181,59,48,16,30.94
Pittsburg,Oklahoma,OK,40121,45837,3382,13,41,10,0.60,89,12,21,2,2.70
Ashley,Arkansas,AR,5003,21853,2432,8,20,0,0.30,91,8,0,0,0.92
Chester,Pennsylvania,PA,42029,498886,1968,253,2823,284,3.90,565,1434,56,144,820.70
Marion,South Carolina,SC,45067,31726,1279,24,72,10,0.60,226,56,31,7,18.16
Chesterfield,Virginia,VA,51041,335687,1103,304,1627,37,3.50,484,1475,11,33,164.90
Carbon,Pennsylvania,PA,42025,65249,1002,65,241,24,0.30,369,240,36,23,88.80
Colbert,Alabama,AL,1033,54428,1533,35,187,10,1.00,343,121,18,6,24.08
San Joaquin,California,CA,6077,762148,3623,210,982,35,0.80,128,271,4,9,12.90
Shelby,Illinois,IL,17173,22363,1965,11,10,10,0.00,44,5,44,5,2.70
Nicholas,Kentucky,KY,21181,7041,510,13,10,0,0.00,142,19,0,0,1.43
Iberville Parish,Louisiana,LA,22047,32511,1691,19,578,41,1.40,1777,341,126,24,444.50
St. Joseph,Michigan,MI,26149,61295,1349,45,129,10,0.20,210,95,16,7,16.88
Jackson (including other portions of Kansas City),Missouri,MO,29095,674158,1566,430,1952,49,14.40,289,1246,7,31,92.80
Blount,Alabama,AL,1009,57322,1667,34,63,10,0.30,109,37,17,5,6.60
Deer Lodge,Montana,MT,30023,9150,1908,4,10,0,0.00,109,5,0,0,1.10
Carroll,Ohio,OH,39019,28836,1020,28,31,10,0.10,107,30,34,9,10.80
Sherman,Oregon,OR,41055,1795,2131,0,10,0,0.00,557,4,0,0,5.58
Wyoming,Pennsylvania,PA,42131,28276,1048,26,34,10,0.00,120,32,35,9,12.10
Pettis,Missouri,MO,29159,42201,1774,23,77,10,0.60,182,43,23,5,10.98
Washington,Maine,ME,23029,31625,8430,3,10,0,0.00,31,1,0,0,0.32
Mower,Minnesota,MN,27099,39163,1841,21,354,10,1.40,903,192,25,5,54.24
Wright,Missouri,MO,29229,18815,1766,10,10,0,0.00,53,5,0,0,0.54
Bergen,New Jersey,NJ,34003,936692,606,1545,18333,1584,11.30,1957,30252,169,2613,51182.12
Warren,New York,NY,36113,65707,2253,29,255,29,0.10,388,113,44,12,50.57
Wilson,Tennessee,TN,47189,113993,1478,77,430,10,1.80,377,290,8,6,26.46
Cleveland,Arkansas,AR,5025,8689,1548,5,10,0,0.00,115,6,0,0,1.16
Laurens,Georgia,GA,13175,48041,2105,22,108,10,0.20,224,51,20,4,11.25
Osage,Kansas,KS,20139,16142,1823,8,10,0,0.00,61,5,0,0,0.62
Burke,North Carolina,NC,37023,88898,1333,66,436,10,1.50,490,327,11,7,39.28
Cavalier,North Dakota,ND,38019,3993,3856,1,0,0,0.00,0,0,0,0,0.01
La Plata,Colorado,CO,8067,51334,4403,11,82,10,0.30,159,18,19,2,4.80
Edwards,Illinois,IL,17047,6721,574,11,10,0,0.00,148,17,0,0,1.49
Mahaska,Iowa,IA,19123,22381,1478,15,96,10,0.50,428,64,44,6,30.03
Whitley,Kentucky,KY,21235,35503,1139,31,10,0,0.00,28,8,0,0,0.29
Medina,Ohio,OH,39103,176395,1095,161,356,23,1.00,201,325,13,21,44.44
Botetourt,Virginia,VA,51023,33347,1406,23,34,10,0.10,101,24,29,7,8.16
Kent,Delaware,DE,10001,162310,2072,78,1450,66,15.00,893,699,40,31,286.08
Lenawee,Michigan,MI,26091,99892,1970,50,154,10,0.30,154,78,10,5,9.30
Otsego,Michigan,MI,26137,24164,1362,17,102,10,0.20,422,74,41,7,33.84
Nobles,Minnesota,MN,27105,21378,1851,11,1552,10,6.10,7259,838,46,5,435.60
Adair,Missouri,MO,29001,25607,1471,17,60,0,0.40,234,40,0,0,2.35
Guadalupe,New Mexico,NM,35019,4619,7850,0,20,0,0.20,432,2,0,0,4.33
Ware,Georgia,GA,13299,35821,2338,15,233,10,0.50,650,99,27,4,32.55
Wallace,Kansas,KS,20199,1517,2367,0,0,0,0.00,0,0,0,0,0.01
Hardin,Kentucky,KY,21093,108266,1626,66,106,10,1.00,97,65,9,6,6.86
Grenada,Mississippi,MS,28043,21906,1092,20,99,10,0.60,451,90,45,9,45.20
Sheridan,Nebraska,NE,31161,5251,6322,0,0,0,0.00,0,0,0,0,0.01
Washington,Colorado,CO,8121,4814,6531,0,41,0,0.20,851,6,0,0,8.52
Vance,North Carolina,NC,37181,44420,699,63,322,22,1.10,724,460,49,31,232.00
San Juan,Utah,UT,49037,14746,20253,0,308,10,3.00,2088,15,67,0,20.89
Lincoln,West Virginia,WV,54043,21720,1134,19,10,0,0.00,46,8,0,0,0.47
Grant Parish,Louisiana,LA,22043,22389,1719,13,30,10,0.10,133,17,44,5,8.04
O'Brien,Iowa,IA,19141,14398,1484,9,33,0,0.20,229,22,0,0,2.30
Doniphan,Kansas,KS,20043,7864,1015,7,10,0,0.00,127,9,0,0,1.28
Finney,Kansas,KS,20055,37200,3367,11,1504,10,14.90,4043,446,26,2,121.32
Richmond,New York,NY,36085,468730,264,1775,13562,948,3.60,2893,51371,202,3590,103923.54
Edgefield,South Carolina,SC,45037,26358,1313,20,51,10,0.40,193,38,37,7,15.52
Concho,Texas,TX,48095,2717,2569,1,10,0,0.00,368,3,0,0,3.69
Mason,West Virginia,WV,54053,27324,1118,24,10,0,0.00,36,8,0,0,0.37
Gilpin,Colorado,CO,8047,5441,388,14,10,0,0.00,183,25,0,0,1.84
Itasca,Minnesota,MN,27061,45058,6902,6,55,10,0.20,122,7,22,1,2.46
Alamance,North Carolina,NC,37001,157844,1126,140,368,20,1.20,233,326,12,17,42.12
Venango,Pennsylvania,PA,42121,54984,1768,31,10,0,0.00,18,5,0,0,0.19
Roberts,South Dakota,SD,46109,10149,2851,3,36,0,0.70,354,12,0,0,3.55
Claiborne,Tennessee,TN,47025,32213,1124,28,10,0,0.00,31,8,0,0,0.32
Cocke,Tennessee,TN,47029,35662,1124,31,21,0,0.10,58,18,0,0,0.59
Dimmit,Texas,TX,48127,10418,3447,3,10,0,0.00,95,2,0,0,0.96
Hale,Alabama,AL,1065,15760,1665,9,178,10,1.00,1129,106,63,6,79.10
Parker,Texas,TX,48367,133463,2341,57,79,10,0.10,59,33,7,4,3.00
Habersham,Georgia,GA,13137,43520,720,60,530,23,1.10,1217,736,52,31,389.76
Camas,Idaho,ID,16025,1117,2784,0,10,0,0.00,895,3,0,0,8.96
Franklin,Iowa,IA,19069,10680,1507,7,10,0,0.00,93,6,0,0,0.94
Shawnee,Kansas,KS,20177,178991,1424,125,328,10,3.30,183,230,5,7,14.72
Somerset,New Jersey,NJ,34035,331164,789,419,4605,419,2.90,1390,5836,126,531,7400.12
Clark,Ohio,OH,39023,138333,1033,133,298,10,0.80,215,288,7,9,21.60
Lee,Virginia,VA,51105,24742,1131,21,10,0,0.00,40,8,0,0,0.41
Crawford,Arkansas,AR,5033,61948,1564,39,31,0,0.40,50,19,0,0,0.51
Carbon,Wyoming,WY,56007,15666,20453,0,10,10,0.00,63,0,63,0,0.64
Osage,Oklahoma,OK,40113,47472,5830,8,95,10,1.40,200,16,21,1,4.02
Sanborn,South Dakota,SD,46111,2355,1473,1,10,0,0.00,424,6,0,0,4.25
Loudon,Tennessee,TN,47105,48556,593,81,154,0,0.60,317,259,0,0,3.18
Robertson,Tennessee,TN,47147,66283,1235,53,511,10,2.10,770,413,15,8,69.39
Schleicher,Texas,TX,48413,3001,3395,0,0,0,0.00,0,0,0,0,0.01
Hardee,Florida,FL,12049,27887,1649,16,105,0,0.20,376,63,0,0,3.77
Marshall,Mississippi,MS,28093,37144,1828,20,81,10,0.50,218,44,26,5,13.14
Bayfield,Wisconsin,WI,55007,15014,3825,3,10,10,0.00,66,2,66,2,2.01
Shelby,Iowa,IA,19165,12167,1530,7,37,0,0.20,304,24,0,0,3.05
Pasco,Florida,FL,12101,466457,1929,241,394,10,0.70,84,204,2,5,5.10
Onslow,North Carolina,NC,37133,192685,2354,81,112,10,0.40,58,47,5,4,2.95
Stark,Ohio,OH,39151,375586,1491,251,743,98,2.00,197,498,26,65,130.68
Weakley,Tennessee,TN,47183,35021,1502,23,26,0,0.10,74,17,0,0,0.75
Brazos,Texas,TX,48041,222830,1517,146,487,10,0.70,218,321,4,6,15.33
Jackson,Colorado,CO,8057,1394,4193,0,0,0,0.00,0,0,0,0,0.01
Meigs,Tennessee,TN,47121,11753,505,23,27,0,0.10,229,53,0,0,2.30
Grant,Washington,WA,53025,97733,6943,14,208,10,0.90,212,29,10,1,4.26
Teton,Wyoming,WY,56039,21675,10380,2,100,10,11.00,461,9,46,0,4.62
Magoffin,Kentucky,KY,21153,12913,802,16,10,0,0.00,77,12,0,0,0.78
Tift,Georgia,GA,13277,41064,686,59,271,10,0.60,659,395,24,14,99.00
