Name,State Code,Cases,Deaths,Risk Index
Skagway Municipality,AK,0,0,0.00
Haines Borough,AK,0,0,0.00
Denali Borough,AK,0,0,0.00
Bristol Bay Borough,AK,0,0,0.00
Wrangell City and Borough,AK,0,0,0.00
Lake and Peninsula Borough,AK,0,0,0.00
Yakutat City and Borough,AK,0,0,0.00
Aleutians East Borough,AK,0,0,0.00
Calhoun,AR,0,0,0.00
Modoc,CA,0,0,0.00
Jackson,CO,0,0,0.00
Sedgwick,CO,0,0,0.00
Kiowa,CO,0,0,0.00
Dolores,CO,0,0,0.00
Kalawao,HI,0,0,0.00
Clark,ID,0,0,0.00
Clearwater,ID,0,0,0.00
Butte,ID,0,0,0.00
Shoshone,ID,0,0,0.00
Boise,ID,0,0,0.00
Oneida,ID,0,0,0.00
Boundary,ID,0,0,0.00
Bear Lake,ID,0,0,0.00
Lewis,ID,0,0,0.00
Scott,IL,0,0,0.00
Wallace,KS,0,0,0.00
Elk,KS,0,0,0.00
Marshall,KS,0,0,0.00
Rush,KS,0,0,0.00
Pawnee,KS,0,0,0.00
Russell,KS,0,0,0.00
Rawlins,KS,0,0,0.00
Kingman,KS,0,0,0.00
Graham,KS,0,0,0.00
Lincoln,KS,0,0,0.00
Wichita,KS,0,0,0.00
Allen,KS,0,0,0.00
Decatur,KS,0,0,0.00
Washington,KS,0,0,0.00
Greeley,KS,0,0,0.00
Thomas,KS,0,0,0.00
Logan,KS,0,0,0.00
Robertson,KY,0,0,0.00
Keweenaw,MI,0,0,0.00
Alger,MI,0,0,0.00
Ontonagon,MI,0,0,0.00
Lake of the Woods,MN,0,0,0.00
Cook,MN,0,0,0.00
Dade,MO,0,0,0.00
Knox,MO,0,0,0.00
Putnam,MO,0,0,0.00
Hickory,MO,0,0,0.00
Barton,MO,0,0,0.00
Ozark,MO,0,0,0.00
Wayne,MO,0,0,0.00
Issaquena,MS,0,0,0.00
Phillips,MT,0,0,0.00
Garfield,MT,0,0,0.00
Teton,MT,0,0,0.00
Petroleum,MT,0,0,0.00
Sheridan,MT,0,0,0.00
Mineral,MT,0,0,0.00
Powell,MT,0,0,0.00
McCone,MT,0,0,0.00
Treasure,MT,0,0,0.00
Blaine,MT,0,0,0.00
Valley,MT,0,0,0.00
Granite,MT,0,0,0.00
Powder River,MT,0,0,0.00
Carter,MT,0,0,0.00
Sanders,MT,0,0,0.00
Sweet Grass,MT,0,0,0.00
Prairie,MT,0,0,0.00
Wibaux,MT,0,0,0.00
Judith Basin,MT,0,0,0.00
Dawson,MT,0,0,0.00
Custer,MT,0,0,0.00
Chouteau,MT,0,0,0.00
Fallon,MT,0,0,0.00
Daniels,MT,0,0,0.00
Cavalier,ND,0,0,0.00
Billings,ND,0,0,0.00
Logan,ND,0,0,0.00
Golden Valley,ND,0,0,0.00
LaMoure,ND,0,0,0.00
Kidder,ND,0,0,0.00
Adams,ND,0,0,0.00
Hettinger,ND,0,0,0.00
Sheridan,ND,0,0,0.00
Towner,ND,0,0,0.00
Sheridan,NE,0,0,0.00
Arthur,NE,0,0,0.00
Keya Paha,NE,0,0,0.00
Loup,NE,0,0,0.00
Perkins,NE,0,0,0.00
Rock,NE,0,0,0.00
Garfield,NE,0,0,0.00
Banner,NE,0,0,0.00
Harlan,NE,0,0,0.00
Grant,NE,0,0,0.00
Wheeler,NE,0,0,0.00
Hooker,NE,0,0,0.00
Dundy,NE,0,0,0.00
McPherson,NE,0,0,0.00
Blaine,NE,0,0,0.00
Brown,NE,0,0,0.00
Pawnee,NE,0,0,0.00
Sioux,NE,0,0,0.00
Hayes,NE,0,0,0.00
Deuel,NE,0,0,0.00
Logan,NE,0,0,0.00
Mora,NM,0,0,0.00
De Baca,NM,0,0,0.00
Eureka,NV,0,0,0.00
Esmeralda,NV,0,0,0.00
Pershing,NV,0,0,0.00
Ellis,OK,0,0,0.00
Roger Mills,OK,0,0,0.00
Harmon,OK,0,0,0.00
Gilliam,OR,0,0,0.00
Wheeler,OR,0,0,0.00
Brule,SD,0,0,0.00
Campbell,SD,0,0,0.00
Perkins,SD,0,0,0.00
Butte,SD,0,0,0.00
Potter,SD,0,0,0.00
Custer,SD,0,0,0.00
Bennett,SD,0,0,0.00
Hanson,SD,0,0,0.00
Mellette,SD,0,0,0.00
Harding,SD,0,0,0.00
Haakon,SD,0,0,0.00
Jones,SD,0,0,0.00
Schleicher,TX,0,0,0.00
Terrell,TX,0,0,0.00
McMullen,TX,0,0,0.00
Culberson,TX,0,0,0.00
Foard,TX,0,0,0.00
Stonewall,TX,0,0,0.00
